Ontology ID	parent class	label	definition	definition source	comment	logical axiom	English syn.	British english syn.	Italian syn.	French syn.	german syn.	spanish syn.	portuguese syn.	see also	cross reference	term editor	class type	curation status	image	Curation notes
FOODON:00002630	Vitis vinifera	Barbera grape plant	Barbera is a red Italian wine grape variety that, as of 2000, was the third most-planted red grape variety in Italy (after Sangiovese and Montepulciano). It produces good yields and is known for deep color, full body, low tannins and high levels of acid.	https://en.wikipedia.org/wiki/Barbera												http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002863	Vitis vinifera	Blaufränkisch grape plant	Blaufränkisch (German for blue Frankish) is a dark-skinned variety of grape used for red wine.	https://en.wikipedia.org/wiki/Blaufr%C3%A4nkisch							Blaufränkisch grape|lemberger | Blauer Limberger | Blue Limberger					http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002864	red wine	Blaufränkisch wine	A red wine varietal produced entirely from Blaufränkisch grapes.	https://en.wikipedia.org/wiki/Blaufr%C3%A4nkisch		'derives from' some 'Blaufränkisch grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
FOODON:00002868	Vitis vinifera	Mourvèdre grape plant	A red wine grape plant variety that is grown in many regions around the world including the Rhône and Provence regions of France, the Valencia and Jumilla denominaciones de origen of Spain, as well as the Balearic Islands, California and Washington and the Australian regions of South Australia and New South Wales, as well as South Africa.	https://en.wikipedia.org/wiki/Mourv%C3%A8dre			Mourvèdre grape | Mataró | Monastrell					Monastrell				http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122	https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Balzac_noir-mourvedre.jpg/451px-Balzac_noir-mourvedre.jpg	
FOODON:00002869	red wine	Mourvèdre wine		https://en.wikipedia.org/wiki/Mourv%C3%A8dre		'derives from' some 'Mourvèdre grape plant'										http://orcid.org/0000-0002-8844-9165	subclass	IAO:0000122		
																				
FOODON:00004045	grape extract	pressed grape juice	Grape juice which is extracted from grapes using a grape pressing process.	https://en.wikipedia.org/wiki/Pressing_(wine)#Free-run_versus_pressed_juice	Pressed juice often has lower acidity levels, higher potassium and pH level, more phenolic compounds such as tannins and more suspended solids such as natural gum and proteins. [wikipedia:Pressing_(wine)#Free-run_versus_pressed_juice]															
FOODON:00004044	grape extract	free-run grape juice	Grape juice which has been extracted through the process of crushing, the natural break down of the grape cell walls during maceration or fermentation, and/or by the weight of grapes within a tall container.	https://en.wikipedia.org/wiki/Pressing_(wine)#Free-run_versus_pressed_juice																
FOODON:00004046	grape extract	grape pomace	The solid remains of grapes after crushing or pressing, typically containing pulp, skins, stems, and seeds.	https://en.wikipedia.org/wiki/Pomace	"Grape pomace contains the skins, pulp, seeds, and stems of the fruit, and has traditionally been used to produce pomace brandy."     [https://en.wikipedia.org/wiki/Pomace]		marc | grape solids													
FOODON:00001071	grape extract	grape must	A grape berry food product which is the juice of freshly pressed grapes that contains some amount of pulp, skins, stems, and seeds.	https://en.wikipedia.org/wiki/Must#Winemaking	Grape pomace components typically comprises between 7 to 23 percent of the total weight of must. [https://en.wikipedia.org/wiki/Must]															
FOODON:00004039	grape must	destemmed grape must	A grape berry food product which results from crushing whole (destemmed) grapes and which contains grape juice and components of grape pomace.																	
FOODON:00004051	grape must	red wine must	A grape must made from red wine grapes which are substantially macerated.	https://en.wikipedia.org/wiki/Maceration_(wine)		'is specified output of' some ('extended maceration' and 'has specified input' some 'red grape cluster')														
FOODON:00004052	grape must	white wine must	A grape must made from red or white wine grapes and which has insignificant masceration.	https://en.wikipedia.org/wiki/Maceration_(wine)																
FOODON:00004050	grape must	rosé wine must	A grape must made from red wine grapes which are partially macerated.	https://en.wikipedia.org/wiki/Maceration_(wine)		'is specified output of' some ('limited maceration' and 'has specified input' some 'red grape cluster')														
																				
